类别：所有类别

月份,real estate: (西班牙)
2004-01,57
2004-02,93
2004-03,87
2004-04,75
2004-05,100
2004-06,65
2004-07,91
2004-08,84
2004-09,74
2004-10,58
2004-11,96
2004-12,48
2005-01,76
2005-02,71
2005-03,63
2005-04,58
2005-05,67
2005-06,64
2005-07,50
2005-08,73
2005-09,54
2005-10,49
2005-11,53
2005-12,46
2006-01,66
2006-02,58
2006-03,58
2006-04,64
2006-05,70
2006-06,69
2006-07,76
2006-08,62
2006-09,71
2006-10,67
2006-11,52
2006-12,53
2007-01,73
2007-02,60
2007-03,59
2007-04,49
2007-05,58
2007-06,52
2007-07,61
2007-08,56
2007-09,56
2007-10,61
2007-11,44
2007-12,28
2008-01,47
2008-02,38
2008-03,47
2008-04,50
2008-05,42
2008-06,44
2008-07,49
2008-08,54
2008-09,47
2008-10,43
2008-11,42
2008-12,28
2009-01,46
2009-02,41
2009-03,51
2009-04,43
2009-05,89
2009-06,49
2009-07,51
2009-08,52
2009-09,59
2009-10,46
2009-11,60
2009-12,40
2010-01,48
2010-02,57
2010-03,52
2010-04,51
2010-05,45
2010-06,48
2010-07,48
2010-08,47
2010-09,42
2010-10,40
2010-11,40
2010-12,35
2011-01,28
2011-02,25
2011-03,25
2011-04,25
2011-05,25
2011-06,29
2011-07,27
2011-08,32
2011-09,26
2011-10,29
2011-11,26
2011-12,25
2012-01,22
2012-02,27
2012-03,31
2012-04,28
2012-05,27
2012-06,30
2012-07,30
2012-08,28
2012-09,29
2012-10,27
2012-11,28
2012-12,22
2013-01,25
2013-02,26
2013-03,24
2013-04,27
2013-05,28
2013-06,32
2013-07,31
2013-08,32
2013-09,31
2013-10,33
2013-11,29
2013-12,28
2014-01,31
2014-02,33
2014-03,38
2014-04,31
2014-05,38
2014-06,36
2014-07,45
2014-08,39
2014-09,43
2014-10,43
2014-11,34
2014-12,32
2015-01,36
2015-02,49
2015-03,42
2015-04,41
2015-05,41
2015-06,39
2015-07,43
2015-08,37
2015-09,42
2015-10,37
2015-11,37
2015-12,31
2016-01,45
2016-02,42
2016-03,43
2016-04,52
2016-05,48
2016-06,45
2016-07,47
2016-08,43
2016-09,44
2016-10,47
2016-11,49
2016-12,45
2017-01,45
2017-02,52
2017-03,51
2017-04,48
2017-05,49
2017-06,46
2017-07,45
2017-08,40
2017-09,50
2017-10,49
2017-11,48
2017-12,34
2018-01,46
2018-02,51
2018-03,45
2018-04,47
2018-05,51
2018-06,51
2018-07,53
2018-08,52
2018-09,68
2018-10,64
2018-11,55
2018-12,43
2019-01,47
