类别：房地产

月份,house: (西班牙)
2004-01,30
2004-02,30
2004-03,27
2004-04,44
2004-05,46
2004-06,46
2004-07,41
2004-08,41
2004-09,48
2004-10,32
2004-11,37
2004-12,35
2005-01,40
2005-02,40
2005-03,38
2005-04,33
2005-05,41
2005-06,46
2005-07,30
2005-08,46
2005-09,48
2005-10,39
2005-11,43
2005-12,29
2006-01,43
2006-02,59
2006-03,66
2006-04,75
2006-05,79
2006-06,71
2006-07,78
2006-08,86
2006-09,77
2006-10,73
2006-11,71
2006-12,71
2007-01,100
2007-02,92
2007-03,79
2007-04,85
2007-05,88
2007-06,70
2007-07,58
2007-08,67
2007-09,59
2007-10,61
2007-11,57
2007-12,49
2008-01,67
2008-02,56
2008-03,59
2008-04,55
2008-05,53
2008-06,54
2008-07,46
2008-08,47
2008-09,44
2008-10,40
2008-11,42
2008-12,40
2009-01,48
2009-02,57
2009-03,52
2009-04,51
2009-05,51
2009-06,53
2009-07,43
2009-08,48
2009-09,45
2009-10,47
2009-11,44
2009-12,43
2010-01,50
2010-02,48
2010-03,47
2010-04,49
2010-05,47
2010-06,49
2010-07,46
2010-08,47
2010-09,43
2010-10,49
2010-11,49
2010-12,47
2011-01,44
2011-02,40
2011-03,42
2011-04,42
2011-05,50
2011-06,50
2011-07,43
2011-08,38
2011-09,36
2011-10,39
2011-11,37
2011-12,32
2012-01,31
2012-02,40
2012-03,39
2012-04,38
2012-05,47
2012-06,57
2012-07,40
2012-08,37
2012-09,36
2012-10,39
2012-11,29
2012-12,25
2013-01,35
2013-02,30
2013-03,37
2013-04,30
2013-05,33
2013-06,31
2013-07,31
2013-08,32
2013-09,32
2013-10,37
2013-11,29
2013-12,28
2014-01,34
2014-02,33
2014-03,33
2014-04,32
2014-05,31
2014-06,35
2014-07,37
2014-08,39
2014-09,33
2014-10,37
2014-11,32
2014-12,28
2015-01,34
2015-02,32
2015-03,31
2015-04,31
2015-05,33
2015-06,35
2015-07,38
2015-08,39
2015-09,34
2015-10,40
2015-11,31
2015-12,26
2016-01,32
2016-02,35
2016-03,42
2016-04,42
2016-05,38
2016-06,36
2016-07,41
2016-08,43
2016-09,39
2016-10,43
2016-11,34
2016-12,31
2017-01,37
2017-02,36
2017-03,35
2017-04,42
2017-05,43
2017-06,42
2017-07,59
2017-08,45
2017-09,46
2017-10,41
2017-11,34
2017-12,27
2018-01,35
2018-02,35
2018-03,34
2018-04,37
2018-05,36
2018-06,35
2018-07,40
2018-08,46
2018-09,45
2018-10,41
2018-11,33
2018-12,30
2019-01,37
