类别：房地产

月份,real estate: (西班牙)
2004-01,77
2004-02,79
2004-03,62
2004-04,65
2004-05,100
2004-06,53
2004-07,73
2004-08,88
2004-09,51
2004-10,54
2004-11,98
2004-12,51
2005-01,52
2005-02,59
2005-03,56
2005-04,67
2005-05,46
2005-06,45
2005-07,45
2005-08,61
2005-09,50
2005-10,50
2005-11,47
2005-12,40
2006-01,28
2006-02,43
2006-03,44
2006-04,48
2006-05,51
2006-06,39
2006-07,47
2006-08,45
2006-09,52
2006-10,37
2006-11,37
2006-12,36
2007-01,35
2007-02,32
2007-03,35
2007-04,33
2007-05,36
2007-06,44
2007-07,44
2007-08,46
2007-09,35
2007-10,41
2007-11,28
2007-12,25
2008-01,38
2008-02,35
2008-03,35
2008-04,35
2008-05,30
2008-06,32
2008-07,33
2008-08,38
2008-09,32
2008-10,26
2008-11,23
2008-12,23
2009-01,28
2009-02,33
2009-03,27
2009-04,35
2009-05,35
2009-06,28
2009-07,33
2009-08,29
2009-09,31
2009-10,33
2009-11,29
2009-12,23
2010-01,33
2010-02,33
2010-03,31
2010-04,31
2010-05,29
2010-06,30
2010-07,32
2010-08,30
2010-09,33
2010-10,30
2010-11,30
2010-12,22
2011-01,20
2011-02,16
2011-03,17
2011-04,15
2011-05,19
2011-06,16
2011-07,20
2011-08,19
2011-09,17
2011-10,17
2011-11,15
2011-12,11
2012-01,16
2012-02,18
2012-03,17
2012-04,19
2012-05,17
2012-06,18
2012-07,18
2012-08,21
2012-09,20
2012-10,19
2012-11,14
2012-12,12
2013-01,17
2013-02,14
2013-03,19
2013-04,18
2013-05,18
2013-06,21
2013-07,19
2013-08,22
2013-09,18
2013-10,18
2013-11,17
2013-12,18
2014-01,16
2014-02,19
2014-03,22
2014-04,22
2014-05,25
2014-06,20
2014-07,29
2014-08,21
2014-09,25
2014-10,25
2014-11,26
2014-12,21
2015-01,24
2015-02,35
2015-03,31
2015-04,27
2015-05,28
2015-06,30
2015-07,27
2015-08,25
2015-09,27
2015-10,28
2015-11,22
2015-12,20
2016-01,32
2016-02,32
2016-03,35
2016-04,32
2016-05,33
2016-06,32
2016-07,30
2016-08,27
2016-09,34
2016-10,29
2016-11,33
2016-12,27
2017-01,33
2017-02,35
2017-03,38
2017-04,30
2017-05,34
2017-06,30
2017-07,32
2017-08,32
2017-09,34
2017-10,34
2017-11,30
2017-12,23
2018-01,33
2018-02,39
2018-03,34
2018-04,34
2018-05,35
2018-06,35
2018-07,31
2018-08,38
2018-09,48
2018-10,49
2018-11,40
2018-12,35
2019-01,48
