类别：房地产

月份,spain real estate: (全球)
2004-01,75
2004-02,100
2004-03,75
2004-04,69
2004-05,59
2004-06,62
2004-07,74
2004-08,72
2004-09,39
2004-10,59
2004-11,59
2004-12,30
2005-01,44
2005-02,67
2005-03,41
2005-04,52
2005-05,47
2005-06,40
2005-07,49
2005-08,41
2005-09,36
2005-10,43
2005-11,25
2005-12,30
2006-01,37
2006-02,37
2006-03,37
2006-04,57
2006-05,29
2006-06,38
2006-07,29
2006-08,28
2006-09,33
2006-10,27
2006-11,24
2006-12,26
2007-01,22
2007-02,30
2007-03,30
2007-04,33
2007-05,29
2007-06,16
2007-07,24
2007-08,25
2007-09,17
2007-10,21
2007-11,25
2007-12,16
2008-01,27
2008-02,25
2008-03,20
2008-04,18
2008-05,19
2008-06,16
2008-07,21
2008-08,20
2008-09,17
2008-10,18
2008-11,11
2008-12,14
2009-01,15
2009-02,19
2009-03,16
2009-04,18
2009-05,19
2009-06,18
2009-07,17
2009-08,12
2009-09,15
2009-10,12
2009-11,13
2009-12,17
2010-01,21
2010-02,14
2010-03,16
2010-04,16
2010-05,12
2010-06,15
2010-07,23
2010-08,18
2010-09,12
2010-10,9
2010-11,10
2010-12,11
2011-01,18
2011-02,14
2011-03,15
2011-04,13
2011-05,13
2011-06,12
2011-07,13
2011-08,12
2011-09,11
2011-10,12
2011-11,11
2011-12,13
2012-01,12
2012-02,11
2012-03,13
2012-04,16
2012-05,18
2012-06,21
2012-07,17
2012-08,14
2012-09,17
2012-10,14
2012-11,19
2012-12,19
2013-01,19
2013-02,16
2013-03,16
2013-04,16
2013-05,16
2013-06,14
2013-07,16
2013-08,16
2013-09,12
2013-10,10
2013-11,11
2013-12,9
2014-01,12
2014-02,12
2014-03,11
2014-04,12
2014-05,10
2014-06,15
2014-07,14
2014-08,10
2014-09,12
2014-10,12
2014-11,8
2014-12,9
2015-01,11
2015-02,10
2015-03,9
2015-04,10
2015-05,11
2015-06,10
2015-07,11
2015-08,12
2015-09,11
2015-10,9
2015-11,8
2015-12,9
2016-01,11
2016-02,12
2016-03,9
2016-04,10
2016-05,10
2016-06,11
2016-07,11
2016-08,9
2016-09,10
2016-10,9
2016-11,10
2016-12,9
2017-01,11
2017-02,12
2017-03,13
2017-04,14
2017-05,11
2017-06,10
2017-07,15
2017-08,12
2017-09,13
2017-10,10
2017-11,11
2017-12,8
2018-01,11
2018-02,10
2018-03,12
2018-04,11
2018-05,11
2018-06,12
2018-07,11
2018-08,12
2018-09,9
2018-10,9
2018-11,10
2018-12,9
2019-01,14
