类别：房地产

月份,spain real estate: (西班牙)
2004-01,0
2004-02,0
2004-03,100
2004-04,27
2004-05,0
2004-06,70
2004-07,26
2004-08,56
2004-09,43
2004-10,43
2004-11,0
2004-12,59
2005-01,17
2005-02,71
2005-03,47
2005-04,33
2005-05,14
2005-06,30
2005-07,33
2005-08,36
2005-09,14
2005-10,74
2005-11,37
2005-12,25
2006-01,11
2006-02,11
2006-03,28
2006-04,0
2006-05,18
2006-06,47
2006-07,31
2006-08,33
2006-09,0
2006-10,24
2006-11,15
2006-12,16
2007-01,14
2007-02,14
2007-03,13
2007-04,0
2007-05,28
2007-06,12
2007-07,12
2007-08,13
2007-09,0
2007-10,20
2007-11,5
2007-12,5
2008-01,23
2008-02,9
2008-03,14
2008-04,17
2008-05,12
2008-06,13
2008-07,9
2008-08,11
2008-09,0
2008-10,15
2008-11,4
2008-12,8
2009-01,4
2009-02,4
2009-03,10
2009-04,4
2009-05,6
2009-06,10
2009-07,3
2009-08,7
2009-09,9
2009-10,3
2009-11,3
2009-12,3
2010-01,14
2010-02,3
2010-03,5
2010-04,3
2010-05,8
2010-06,8
2010-07,11
2010-08,6
2010-09,13
2010-10,7
2010-11,2
2010-12,5
2011-01,11
2011-02,0
2011-03,6
2011-04,5
2011-05,8
2011-06,0
2011-07,5
2011-08,5
2011-09,4
2011-10,6
2011-11,12
2011-12,8
2012-01,4
2012-02,2
2012-03,9
2012-04,8
2012-05,5
2012-06,2
2012-07,10
2012-08,17
2012-09,9
2012-10,8
2012-11,7
2012-12,7
2013-01,6
2013-02,12
2013-03,11
2013-04,10
2013-05,5
2013-06,12
2013-07,15
2013-08,11
2013-09,19
2013-10,12
2013-11,13
2013-12,7
2014-01,6
2014-02,3
2014-03,10
2014-04,19
2014-05,6
2014-06,7
2014-07,4
2014-08,10
2014-09,16
2014-10,8
2014-11,12
2014-12,2
2015-01,15
2015-02,6
2015-03,6
2015-04,7
2015-05,13
2015-06,17
2015-07,11
2015-08,5
2015-09,10
2015-10,11
2015-11,11
2015-12,6
2016-01,9
2016-02,12
2016-03,9
2016-04,7
2016-05,9
2016-06,6
2016-07,12
2016-08,7
2016-09,10
2016-10,5
2016-11,5
2016-12,6
2017-01,10
2017-02,13
2017-03,12
2017-04,10
2017-05,11
2017-06,6
2017-07,8
2017-08,12
2017-09,10
2017-10,13
2017-11,9
2017-12,4
2018-01,10
2018-02,6
2018-03,6
2018-04,8
2018-05,5
2018-06,12
2018-07,8
2018-08,9
2018-09,4
2018-10,11
2018-11,8
2018-12,8
2019-01,0
